Firm Name,CRD Number,SEC Registration Type,Custodian,Has Proprietary Funds,ADV URL,IAPD Profile URL,FilingDate,Notes
EVANS CAPITAL PARTNERS LLC,323000,STATE,,,,,8/10/2022,
ROCKSTREET PARTNERS LLC,283548,STATE,,,,,8/30/2019,
IQ RETIREMENT PORTFOLIOS LLC,308294,STATE,,,,,8/10/2022,
"COPIA WEALTH MANAGEMENT ADVISORS, INC.",288286,STATE,,,,,3/17/2025,
MBB ADVISORY LLC,306115,STATE,,,,,3/17/2025,
CAPITAL ADVISORY GROUP,147192,STATE,,,,,3/17/2025,
"CHIAREZZA CAPITAL MANAGEMENT, LLC",169290,STATE,,,,,3/17/2025,
ERNEST SALGAN,283695,STATE,,,,,3/17/2025,
ATLAS CAPITAL INVESTMENT LLC,319436,STATE,,,,,3/26/2024,
DUNDEE VC MANAGEMENT LLC,164403,STATE,,,,,3/17/2025,
GRIFFON INVESTMENT ADVISORS INCORPORATED,287863,STATE,,,,,3/6/2025,
CENADOR FINANCIAL ADVISERS LLC,171804,STATE,,,,,3/6/2025,
"BROL CAPITAL MANAGEMENT, LLC",154196,STATE,,,,,3/28/2025,
VELOURIA CAPITAL MANAGEMENT LLC,166377,STATE,,,,,5/5/2022,
KATZ-MOSES FINANCIAL LLC,304768,STATE,,,,,3/7/2025,
CORE ASSET MANAGNEMENT LLC,155385,STATE,,,,,3/7/2025,
ARNOLD FINANCIAL PLANNING,122972,STATE,,,,,4/1/2022,
"HOLOS CONSULTING GROUP, LLC",327700,STATE,,,,,3/28/2025,
DHAMMA CAPITAL,302037,STATE,,,,,3/7/2025,
CARLYLE WEALTH PLANNING,126298,STATE,,,,,3/28/2025,
J CAP SHORT MANAGEMENT LP,324121,STATE,,,,,11/7/2022,
BELTRAMO FINANCIAL SERVICES INC.,154791,STATE,,,,,3/5/2025,
QTS RETIREMENT SERVICES LLC,333799,STATE,,,,,3/20/2025,
"IRON PATH WEALTH MANAGEMENT, INC.",309149,STATE,,,,,3/20/2025,
"SOUND LEGACY WEALTH ADVISORS, LLC",306332,STATE,,,,,4/30/2025,
"AMADEUS WEALTH ALTERNATIVES, INC.",170408,STATE,,,,,4/30/2025,
"AUSTEN INVESTMENTS, LLC",313643,STATE,,,,,3/20/2025,
"TRIANGLE TWEENER FUND, LLC",318464,STATE,,,,,3/20/2025,
DBA SESLIA SECURITIES,30624,STATE,,,,,3/20/2025,
J.W. ADVISORS INC.,113883,STATE,,,,,3/20/2025,
H I MANAGEMENT SERVICES INC.,152551,STATE,,,,,4/29/2025,
PELICAN ADVISORY LLC,330658,STATE,,,,,2/19/2025,
ALPHA INITIATIVE,299242,STATE,,,,,2/19/2025,
"TREESA FINANCIAL PLANNING, LLC",165288,STATE,,,,,2/19/2025,
FISCHER ADVISORS LLC,333508,STATE,,,,,2/19/2025,
"GOYDAS CAPITAL INVESTMENT MANAGEMENT, LLC",305028,STATE,,,,,4/29/2025,
"MCCLURE INVESTMENT MANAGEMENT, LLC",121205,STATE,,,,,2/19/2025,
ONE-UP FINANCIAL LLC,309489,STATE,,,,,2/19/2025,
THE SIMPSON FIRM LLC,299204,STATE,,,,,1/10/2022,
LAKESIDE FINANCIAL INC.,213517,STATE,,,,,4/29/2025,
E. ROGER FINANCIAL GROUP,157793,STATE,,,,,2/19/2025,
"RENZ FINANCIAL GROUP, LLC",153025,STATE,,,,,3/31/2015,
"SCHMIDT WEALTH MANAGEMENT, L.L.C.",328084,STATE,,,,,4/30/2025,
HONTE CAPITAL MANAGEMENT LLC,292717,STATE,,,,,3/26/2018,
NOBLE ADVISORY GROUP LLC,282307,STATE,,,,,2/1/2019,
BLACK CAT WEALTH,313381,STATE,,,,,1/30/2023,
"MAKERS ENVIRONMENT MANAGEMENT COMPANY, LLC",308893,STATE,,,,,3/13/2024,
"PAGF GP, LLC",161760,STATE,,,,,3/13/2024,
AMERICAN TRANSNATIONAL ADVISORS LLC,319217,STATE,,,,,9/22/2023,
"PROCORE ADVISORS, LLC",289037,STATE,,,,,4/30/2025,
SOL FINANCIAL,333387,STATE,,,,,4/29/2025,
"KENSINGTON SECURITIES, LLC",145453,STATE,,,,,4/29/2025,
RETIREMENT INCOME PLANNING LLC,330113,STATE,,,,,4/29/2025,
"TREND MANAGEMENT, INC.",113847,STATE,,,,,1/12/2021,
OWLFA LLC,284567,STATE,,,,,8/23/2024,
"WELLS, BOB",316929,STATE,,,,,10/29/2021,
"ROCKLEDGE PARTNERS, LLC",128171,STATE,,,,,3/22/2017,
"NERAT CAPITAL, LLC",298218,STATE,,,,,8/28/2018,
RUSSO INVESTMENT MANAGEMENT,107164,STATE,,,,,4/2/2025,
CAMELLIA ASSET MANAGEMENT LLC,289284,STATE,,,,,7/13/2017,
DIVERGENT VENTURE MANAGEMENT IV,300820,STATE,,,,,4/2/2025,
REYE PARTNERS ASSET MANAGEMENT LLC,135338,STATE,,,,,4/2/2025,
"K FINANCIAL SERVICES, LLC",287772,STATE,,,,,5/23/2024,
"WINSLOW ASSET GROUP, LLC",292557,STATE,,,,,1/19/2023,
WESTCENTER ADVISORS LTD,291541,STATE,,,,,2/14/2022,
"KIRBY ENERGY PARTNERS, LLC",172599,STATE,,,,,3/30/2015,
CRISTATA INVESTMENT MANAGEMENT,148503,STATE,,,,,6/23/2014,
"TONY CHRAMPANIS & CO., L.L.C.",133254,STATE,,,,,4/4/2011,
AVIDITY CAPITAL,312745,STATE,,,,,3/31/2025,
STRATEGIC INCOME ADVISORS,157843,STATE,,,,,3/31/2025,
CORNELL CAPITAL MANAGEMENT,304229,STATE,,,,,3/7/2022,
TWOMBLY ASSET MANAGEMENT LLC,151610,STATE,,,,,3/31/2025,
ARES-BOUND CAPITAL,310218,STATE,,,,,3/30/2025,
SILVER CANYON GROUP,311511,STATE,,,,,3/30/2025,
"MAPLETON CAPITAL MANAGEMENT, LLC",122230,STATE,,,,,3/31/2025,
"PHRONIMOS CAPITAL, LLC",172605,STATE,,,,,3/30/2025,
LONGVIEW INVESTMENT MANAGEMENT,300694,STATE,,,,,3/30/2025,
"1ST ADVANTAGE FINANCIAL ADVISERS, LLC",142089,STATE,,,,,11/18/2014,
"QHH CAPITAL MANAGEMENT, LLC",311791,STATE,,,,,3/30/2025,
"RAINDROP FINANCIAL, INC",164994,STATE,,,,,9/17/2014,
"PAC CAPITAL, LLC",305303,STATE,,,,,3/30/2025,
RENEW CAPITAL ADVISORS,329717,STATE,,,,,3/31/2025,
"HERITAGE FINANCIAL NETWORK, INC.",128532,STATE,,,,,3/31/2025,
"POTTLE FINANCIAL SERVICES, INC",140181,STATE,,,,,3/31/2025,
"EAST PACIFIC INVESTMENT COMPANY, INC.",322196,STATE,,,,,3/25/2025,
HARVEY WEALTH MANAGEMENT LLC,324344,STATE,,,,,5/21/2024,
STRONG BRIDGE ADVISORS LLC,315520,STATE,,,,,3/25/2025,
"PROMETHEUS CAPITAL ADVISORS, LLC",322820,STATE,,,,,3/27/2024,
JMC WEALTH,140984,STATE,,,,,2/14/2024,
"P. G. EARL INVESTMENT ADVISERS, L.L.C.",125271,STATE,,,,,10/11/2021,
"READOUT CAPITAL, LP",331733,STATE,,,,,5/21/2024,
"MILOHEN FUNDS, LLC",289239,STATE,,,,,7/17/2017,
FOREST TREE CAPITAL,325656,STATE,,,,,3/25/2025,
UPWARD FINANCIAL PLANNING,321825,STATE,,,,,5/21/2024,
"T.L. EDDY FINANCIAL SERVICES, INC.",141563,STATE,,,,,3/18/2014,
"ROSCHMAN CAPITAL ADVISORS, LLC",282080,STATE,,,,,3/3/2025,
"VESTED LEGACY WEALTH MANAGEMENT, L.P.",174462,STATE,,,,,3/30/2025,
"TUGAR CAPITAL MANAGEMENT, L.P.",131630,STATE,,,,,9/8/2014,
"EPIC FINANCIAL, LLC",169410,STATE,,,,,3/3/2025,
CLOUD PEAK ADVISORS,293021,STATE,,,,,2/15/2023,
FIDUCIARY ARCHITECTS LLC,322251,STATE,,,,,3/3/2025,
"TAYLOR STRATEGIC WEALTH MANAGEMENT, LLC",323492,STATE,,,,,3/3/2025,
"INTERLINC FINANCIAL ADVISORS, INC.",290740,STATE,,,,,3/3/2025,
OPTICA TECHNOLOGY GROUP LLC,331372,STATE,,,,,3/3/2025,
"AMBER WEALTH ADVISORS, LLC",325953,STATE,,,,,3/3/2025,
"HEMISPHERE VENTURES ADVISORS, LLC",300901,STATE,,,,,3/3/2025,
"ZIEGLER LINK-AGE MANAGEMENT II, LLC",298833,STATE,,,,,3/3/2025,
CREATIONSVC MANAGEMENT LLC,329037,STATE,,,,,3/30/2025,
ZENITH WEALTH MANAGEMENT,309579,STATE,,,,,3/30/2025,
GAMMA INVESTMENT MANAGEMENT LLC,304685,STATE,,,,,1/21/2025,
"WISDOM INVESTMENT STRATEGIES, LLC",284236,STATE,,,,,3/27/2025,
SUPPORTING YOUR CHOICES INC.,125367,STATE,,,,,4/20/2022,
FRAME WEALTH MANAGEMENT,311601,STATE,,,,,1/22/2025,
"KOEHLER FINANCIAL SERVICES, INC.",123092,STATE,,,,,1/13/2025,
"TRESCO FINANCIAL, LLC",291722,STATE,,,,,3/4/2024,
"PERPETUAL WEALTH ADVISORS, L.L.C.",143864,STATE,,,,,1/21/2025,
YZ FINANCIAL ADVISORS LLC,314477,STATE,,,,,3/27/2025,
ADVANCED PLANNING COLLECTIVE,329248,STATE,,,,,3/4/2024,
CAPITAL MANAGEMENT GROUP,292838,STATE,,,,,1/22/2025,
"SKY VISION WEALTH, LLC",317010,STATE,,,,,1/22/2025,
GUENTHER WEALTH MANAGEMENT LLC,325916,STATE,,,,,1/22/2025,
ALL-PRO ADVISORS LLC,310064,STATE,,,,,1/22/2025,
"ALPHAOMEGA WEALTH MANAGEMENT, LLC",318321,STATE,,,,,3/27/2025,
"STONEBRIDGE WEALTH MANAGEMENT, LTD., CO.",155149,STATE,,,,,3/3/2025,
"LEGION CAPITAL MANAGEMENT, LLC",147552,STATE,,,,,3/3/2025,
"ILG PRIVATE WEALTH, INC.",292267,STATE,,,,,3/3/2025,
DPCM,150717,STATE,,,,,3/3/2025,
"THE AFFINITY GROUP, LLC",283819,STATE,,,,,3/3/2025,
"HOFSTETTER, CODY L.",328265,STATE,,,,,3/28/2024,
PROSPECTIVE VALUE PARTNERS LLC,258786,STATE,,,,,3/3/2025,
"FLATIRON WEALTH ADVISORS, LLC",318513,STATE,,,,,3/3/2025,
"PLEASANTDALE WEALTH MANAGEMENT, LLC",302034,STATE,,,,,3/3/2025,
ALPHANSO,324030,STATE,,,,,3/5/2025,
"MERGENT WEALTH, LLC",313559,STATE,,,,,1/30/2025,
BOOMTOWN,226515,STATE,,,,,7/12/2017,
ROADMAP WEALTH MANAGEMENT LLC,229789,STATE,,,,,1/30/2025,
KODIAK INVESTMENT MANAGEMENT LLC,152925,STATE,,,,,4/4/2024,
"SANSKAR ADVISORS, INC.",113727,STATE,,,,,1/30/2025,
"STONE OAK CAPITAL, LLC",289105,STATE,,,,,3/25/2025,
"AFP GROUP, LLC",164651,STATE,,,,,3/31/2025,
"GUARDIAN INVESTMENT ADVISORS, LLC",300171,STATE,,,,,12/19/2018,
"PACIFIC INVESTMENT ADVISORS, LLC",127615,STATE,,,,,1/30/2025,
"VS ASSET MANAGEMENT, LLC",282521,STATE,,,,,3/25/2025,
"PHOENIX FINANCIAL ENGINEERING, LLC",284293,STATE,,,,,3/25/2025,
MEDCENTRIC FINANCIAL NETWORK,115826,STATE,,,,,3/31/2025,
"MY FINANCIAL COACH PLANNING, LLC",301669,STATE,,,,,6/5/2024,
"SELECT FINANCIAL SERVICES GROUP, INC.",123613,STATE,,,,,1/30/2025,
"HANDY & COMPANY FINANCIAL ADVISORS, INC.",154417,STATE,,,,,1/30/2025,
HARBORSIDE CAPITAL,300857,STATE,,,,,3/31/2025,
ADVISORY DIALECTICS,332273,STATE,,,,,3/26/2025,
PREMIERE MANAGEMENT,122298,STATE,,,,,3/26/2025,
"SPENCER BROOK ASSET MANAGEMENT, LLC",129034,STATE,,,,,7/25/2023,
TOUCHLINE ADVISORS LLC,334881,STATE,,,,,2/5/2025,
"SAFE HARBOR FINANCIAL PLANNING & INVESTMENT ADVISORY, LLC",151810,STATE,,,,,2/5/2025,
FINALIS INVESTMENT ADVISORY LLC,318981,STATE,,,,,3/23/2022,
"ROLAND, CRISS INVESTMENT RESEARCH, LLC",292171,STATE,,,,,2/5/2025,
"G.B. ALLEN ASSOCIATES, INC.",112737,STATE,,,,,3/26/2025,
L.M. WOOD CFP,107370,STATE,,,,,3/26/2025,
KLEIN ASSET MANAGEMENT LLC,136536,STATE,,,,,2/4/2025,
"BRICKELL INVESTMENTS, LLC",143196,STATE,,,,,3/6/2025,
SCALED FINANCE LLC,321728,STATE,,,,,3/6/2025,
STRATEGIC FINANCE INC.,328828,STATE,,,,,3/6/2025,
"BLACKGEM ADVISORS, LLC",309683,STATE,,,,,3/6/2025,
"CONSPECTA CAPITAL, LLC",172507,STATE,,,,,3/6/2025,
VENTURE FORTH FINANCIAL,283315,STATE,,,,,3/7/2025,
KOMONS FINANCIAL LLC,302087,STATE,,,,,3/31/2025,
VOLTZ ASSET MANAGEMENT INC.,167138,STATE,,,,,3/7/2025,
ARENA WEALTH MANAGEMENT LLC,326631,STATE,,,,,3/7/2025,
ENTRYPOINT WEALTH MANAGEMENT,310922,STATE,,,,,3/7/2025,
OPERATING CAPITAL MANAGEMENT LLC,289233,STATE,,,,,7/27/2017,
"CONSIDERATE CAPITAL, LLC",309585,STATE,,,,,3/31/2025,
"CLARITY FINANCIAL, LLC",170816,STATE,,,,,3/31/2025,
SHINING LIGHT INVESTMENT CORPORATION,312649,STATE,,,,,2/14/2023,
"JP-7, LP",332404,STATE,,,,,3/31/2025,
"COMMODITIES & SECURITIES, INC.",154526,STATE,,,,,3/31/2025,
"SILA VALUE ADVISORS, LLC",150760,STATE,,,,,3/28/2025,
"MONTE CARLO CAPITAL PARTNERS, LLC",332798,STATE,,,,,3/28/2025,
"VISIBLE HANDS MANAGEMENT, LLC",313313,STATE,,,,,3/28/2025,
JERSEY SHORE FINANCIAL ADVISORS LLC,143748,STATE,,,,,3/28/2025,
77TH STREET INVESTORS,174445,STATE,,,,,4/13/2022,
"MONARCH CAPITAL GROUP, LLC",47815,STATE,,,,,5/7/2013,
WINEBERG SOLHEIM HOWELL & SHAIN PC,123880,STATE,,,,,2/18/2009,
JOSEPH M. PRESTI INVESTMENTS,289409,STATE,,,,,3/19/2025,
"VON HALLE, ALLAN",311062,STATE,,,,,3/19/2025,
"JAMES HEAVEY WEALTH ADVISORS, LLC",287645,STATE,,,,,3/19/2025,
THOMAS INVESTMENT ADVISORS LLC,334544,STATE,,,,,3/19/2025,
FLETCHER CAPITAL MANAGEMENT,153360,STATE,,,,,3/19/2025,
MITCHELL ADVISORY INC,109447,STATE,,,,,3/19/2025,
CENTENNIAL MANAGEMENT,113252,STATE,,,,,3/19/2025,
REAGAN FINANCIAL PLANNING LLC,284103,STATE,,,,,3/21/2025,
CLIMECO ENVIRONMENTAL CAPITAL MANAGEMENT LLC,175407,STATE,,,,,5/15/2018,
EPISTEME ADVISORS,153919,STATE,,,,,6/6/2024,
"FIRST FINANCIAL SECURITY, LLC",120878,STATE,,,,,3/21/2025,
"DISCIPLINED GROWTH CAPITAL, LLC",326666,STATE,,,,,3/31/2025,
"WISDOM VENTURES FUND, LLC",318468,STATE,,,,,3/31/2025,
"JASTON CAPITAL, LLC",284543,STATE,,,,,3/30/2025,
EPAKON CAPITAL GROUP LLC,335838,STATE,,,,,3/31/2025,
"HAYKIN, MICHAEL",113249,STATE,,,,,3/25/2025,
ABACUS WEALTH INTERNATIONAL (AWI),308998,STATE,,,,,3/25/2025,
FRASER ASSET MANAGEMENT,300121,STATE,,,,,3/30/2025,
"FIELDSTONE MONEY MANAGEMENT, INC.",126510,STATE,,,,,3/25/2025,
FREY FINANCIAL,123538,STATE,,,,,12/20/2018,
"LELAH FINANCIAL, LLC",294223,STATE,,,,,3/30/2025,
MONTECITO CAPITAL MANAGEMENT,123266,STATE,,,,,3/30/2025,
CORTICAL VENTURES,316775,STATE,,,,,3/31/2025,
ESGUARD TECHNOLOGIES LP,306873,STATE,,,,,3/31/2025,
"DRIVEN CAPITAL ADVISORS, LLC",325280,STATE,,,,,2/7/2023,
"CREATIVE FINANCIAL SOLUTIONS, LLC",120153,STATE,,,,,3/31/2025,
"FTW VENTURES MANAGEMENT , L.L.C.",312560,STATE,,,,,3/31/2025,
"CLOCKWORK CAPITAL, LLC",329271,STATE,,,,,3/31/2025,
ROKR CAPITAL MANAGEMENT LLC,324040,STATE,,,,,3/31/2025,
ZION CAPITAL LLC,307421,STATE,,,,,2/11/2024,
PERSONAL FINANCIAL EVALUATIONS,306812,STATE,,,,,3/31/2025,
KELLY FINANCIAL GROUP LLC,282172,STATE,,,,,3/3/2025,
"ASHEVILLE CAPITAL MANAGEMENT, LLC",318705,STATE,,,,,3/28/2025,
RCS WEALTH MANAGEMENT,328114,STATE,,,,,3/28/2025,
MAIN STREET FINANCIAL ADVISORS,132141,STATE,,,,,3/20/2020,
"LEGACY SPRINGS ADVISORS, LLC",166831,STATE,,,,,3/3/2025,
"PIONEER FINANCIAL, INC.",137940,STATE,,,,,3/7/2022,
AVESTA VENTURE ADVISORS,123227,STATE,,,,,3/22/2012,
LEADER INVESTMENTS LLC,325683,STATE,,,,,3/16/2025,
SMARTALPHA WEALTH ADVISORS LLC,323310,STATE,,,,,11/3/2022,
"ELR CAPITAL MANAGEMENT, LLC",281239,STATE,,,,,3/16/2025,
"ENDURO WEALTH MANAGEMENT, LLC",288052,STATE,,,,,3/17/2025,
PRS WEALTH MANAGEMENT,296319,STATE,,,,,3/17/2025,
RELEVANT FINANCIAL ADVISORS LLC,174465,STATE,,,,,3/17/2025,
UNITY WEALTH STRATEGIES,332777,STATE,,,,,3/17/2025,
COPLANNING FINANCIAL LLC,315970,STATE,,,,,3/17/2025,
PECORA CAPITAL LLC,308178,STATE,,,,,3/25/2025,
"THE CHADWICK GROUP, INC.",297319,STATE,,,,,3/28/2023,
BLACK BULL ADVISORS LLC,305153,STATE,,,,,3/29/2024,
FINANCIAL PATHWAY LLC,306748,STATE,,,,,3/25/2025,
LOOP CAPITAL MARKETS LLC,43098,STATE,,,,,3/25/2025,
MCKINLEY FINANCIAL,282443,STATE,,,,,3/25/2025,
"KWS ADVISORY GROUP, LLC",309184,STATE,,,,,4/8/2022,
MARA INVESTMENTS LLC,165820,STATE,,,,,4/14/2014,
PORTFOLIO DYNAMIX,307069,STATE,,,,,3/28/2024,
"PALM DRIVE VENTURES, LLC",289989,STATE,,,,,4/4/2022,
"TWEED CAPITAL MANAGEMENT, LLC",292176,STATE,,,,,1/19/2018,
"D SQUARED CAPITAL MANAGEMENT, LLC",154019,STATE,,,,,1/16/2019,
"OMEGA WEALTH MANAGEMENT, LLC",330209,STATE,,,,,3/24/2024,
JJB ANGEL,299199,STATE,,,,,3/31/2021,
"LBR CAPITAL MANAGEMENT, LLC",316495,STATE,,,,,3/31/2023,
CROWD APPROACH CAPITAL,219519,STATE,,,,,4/24/2015,
KENSTON CAPITAL PARTNERS LLC,327621,STATE,,,,,3/27/2025,
"WIV VENTURES, LLC",329314,STATE,,,,,3/27/2025,
"ZENTURE CAPITAL MANAGEMENT, LLC",325259,STATE,,,,,3/27/2025,
"J ROBERT BERGMANN ADVISORS, LLC",334811,STATE,,,,,3/26/2025,
JUDSON INVESTMENTS LLC,169479,STATE,,,,,7/26/2017,
TARGETED WEALTH SOLUTIONS,282131,STATE,,,,,3/26/2025,
"INTERNATIONAL STANDARD ASSET MANAGEMENT, LLC",304240,STATE,,,,,6/18/2020,
BAYOU STREET PRIVATE SECURITIES LLC,309659,STATE,,,,,6/18/2020,
"PRAIRIEGOLD VENTURE PARTNERS II, LLC",330234,STATE,,,,,4/4/2024,
"SOLVE CONSULTING GROUP, LLC",319465,STATE,,,,,3/9/2024,
"JAM DEFI HOLDINGS, LLC",318465,STATE,,,,,2/18/2022,
WOODLAND EAST CAPITAL MANAGEMENT LLC,301026,STATE,,,,,3/28/2025,
"ENVISION ASSET MANAGEMENT, INC.",148451,STATE,,,,,3/28/2025,
O'CONNOR PORTFOLIO MANAGEMENT LLC,168679,STATE,,,,,3/10/2025,
"PENN COVE FINANCIAL, LLC",137046,STATE,,,,,3/10/2025,
"VARBECO WEALTH MANAGEMENT, LLC",124526,STATE,,,,,3/10/2025,
"KFICO, LLC REGISTERED INVESTMENT ADVISOR",155673,STATE,,,,,3/10/2025,
"GATEHILL FINANCIAL CONSULTING, LLC",313072,STATE,,,,,3/10/2025,
CANAAN VALLEY CAPITAL MANAGEMENT LLC,281959,STATE,,,,,3/10/2025,
"AKAMAI WEALTH MANAGEMENT, LLC",322422,STATE,,,,,4/5/2024,
BOYNTON FINANCIAL LLC,143201,STATE,,,,,3/10/2025,
"ROBERT L. WEISMAN, LLC",146186,STATE,,,,,7/28/2017,
"BRICKMAN MANAGER V, LLC",292076,STATE,,,,,3/10/2025,
HAMILTON GLOBAL CAPITAL,157970,STATE,,,,,1/24/2018,
UCS INVESTMENT CO,149258,STATE,,,,,1/27/2014,
"ANIMUS WEALTH MANAGEMENT, LLC.",309189,STATE,,,,,3/26/2025,
"AMERICAN TRUST INVESTMENT SERVICES ADVISORY, INC.",299547,STATE,,,,,3/26/2025,
"WINTER HARBOR ADVISORS, L.L.C.",139074,STATE,,,,,3/27/2025,
NESTEGG WEALTH ADVISORS,284016,STATE,,,,,3/14/2025,
LEE SLATER + ASSOCIATES,300649,STATE,,,,,4/4/2025,
"KESSLER ENERGY, LLC",286106,STATE,,,,,3/14/2025,
"APB WEALTHCARE ADVISORS, LLP",121233,STATE,,,,,3/14/2025,
STOKEN ASSET MANAGEMENT LLC,167515,STATE,,,,,3/14/2025,
"FRY'S PATH CAPITAL, LLC",300498,STATE,,,,,3/29/2024,
FPF ADVISORS LLC,332038,STATE,,,,,4/3/2025,
MD INVESTMENT ADVISORS,141593,STATE,,,,,4/3/2025,
"LOWERCASE CAPITAL, LLC",299880,STATE,,,,,3/31/2025,
TRIPLE BALANCE ADVISERS INC,314625,STATE,,,,,3/31/2025,
"DK CAPITAL FUND GP, LLC",328870,STATE,,,,,3/7/2024,
PACIFIC ADVANTAGE CAPITAL GROUP LTD.,171037,STATE,,,,,3/29/2016,
"HILTON FINANCIAL GROUP, LLC",285226,STATE,,,,,12/13/2023,
SELLECK FINANCIAL GROUP,289240,STATE,,,,,6/12/2024,
"DUNCANSON, BRIAN",322962,STATE,,,,,2/5/2024,
COURTSIDE WEALTH PARTNERS LLC,332257,STATE,,,,,3/21/2025,
PARK LANE FINANCIAL GROUP LLC,332774,STATE,,,,,3/21/2025,
"PORTFOLIO AUDIT, LLC",118549,STATE,,,,,3/21/2025,
"KNIGHT INVESTMENT PLANNING, LLC",130445,STATE,,,,,3/14/2025,
"AZTEC FINANCIAL GROUP, LLC",296987,STATE,,,,,9/5/2018,
ROCKY MOUNTAIN HUMANE INVESTING LLC,113421,STATE,,,,,3/14/2025,
OTHER FUND PARTNERS LLC,277096,STATE,,,,,3/14/2025,
"XENA FINANCIAL PLANNING, LLC",333436,STATE,,,,,3/14/2025,
"EAGLE POINT INVESTMENT ADVISORS, INC.",165539,STATE,,,,,3/14/2025,
"B&L WEALTH GROUP, LLC",332083,STATE,,,,,3/14/2025,
LODESTAR ASSET MANAGEMENT LLC,157419,STATE,,,,,3/28/2025,
Q2 WEALTH MANAGEMENT,314932,STATE,,,,,3/28/2025,
"SPECIALTY INCOME ADVISORS, LLC",330417,STATE,,,,,3/7/2024,
"BEACON INVESTMENT ADVISERS, LLC",130151,STATE,,,,,3/29/2024,
"INTELLIVEST SECURITIES, INC.",145022,STATE,,,,,5/20/2008,
"INTELLIVEST SECURITIES RESEARCH, INC",147288,STATE,,,,,5/20/2008,
"HEFTI CAPITAL MANAGEMENT, LLC",149367,STATE,,,,,9/27/2022,
PRISM CAPITAL,144989,STATE,,,,,5/24/2016,
"SOUTH SHORE ASSET MANAGEMENT, LLC",145332,STATE,,,,,3/26/2024,
CROSSBOW CAPITAL MANGEMENT,133200,STATE,,,,,8/30/2007,
LINCOLN ASSET MANAGEMENT,131192,STATE,,,,,5/15/2018,
THRIVE WISE WEALTH,295090,STATE,,,,,3/10/2023,
MASSIVE CAPITAL PARTNERS,312781,STATE,,,,,2/14/2024,
UPSIDE LAB ADVISORS INC.,304862,STATE,,,,,2/14/2024,
YONGCHANG COMPANY INC,304736,STATE,,,,,1/28/2023,
"GRIT PARTNERS, LLC",318654,STATE,,,,,3/17/2025,
OLYMPIC MARITIME MANAGEMENT LLC,329093,STATE,,,,,3/13/2024,
"REGENCY FINANCIAL, LLC",128008,STATE,,,,,3/13/2024,
"DIVERSEY CAPITAL, LLC",170869,STATE,,,,,3/29/2016,
GINERIS WEALTH MANAGEMENT,295095,STATE,,,,,3/28/2025,
"ETZLER FINANCIAL ADVISORS, LLC",134022,STATE,,,,,3/28/2025,
BDM INVESTMENTS LLC,325169,STATE,,,,,1/2/2024,
DOMANI INVESTMENTS INC.,124124,STATE,,,,,3/28/2025,
MONTEITH WEALTH,308179,STATE,,,,,2/27/2025,
HAMZA INVESTS FUND MANAGER LLC,329937,STATE,,,,,2/27/2024,
"ADVISOR SERVICES, INC.",107666,STATE,,,,,4/20/2021,
"MT CLINIC, L.L.C.",284708,STATE,,,,,4/29/2020,
GRIT AND LAVENDER FINANCIAL PLANNING,305656,STATE,,,,,3/28/2025,
"COX CAPITAL, LLC",282105,STATE,,,,,3/28/2024,
"COPELAND WEALTH MANAGEMENT, LLC",152781,STATE,,,,,2/27/2025,
"COR3 INVESTMENT PARTNERS, LLC",323536,STATE,,,,,9/30/2024,
GIBSON MONROE WEALTH ADVISORS,324146,STATE,,,,,2/27/2025,
"STRATEGIC FINANCIAL, LLC",122437,STATE,,,,,3/28/2025,
"FISHER FINANCIAL GROUP, LLC",154479,STATE,,,,,3/6/2025,
THRIVE FINANCIAL PLANNING,172558,STATE,,,,,3/7/2025,
"AQS MANAGEMENT, LLC",317432,STATE,,,,,3/7/2025,
MORGAN CAPITAL GROUP LLC,307004,STATE,,,,,3/7/2025,
3 PEAKS FINANCIAL,296817,STATE,,,,,3/6/2025,
ASL MANAGEMENT LLC,282878,STATE,,,,,3/28/2025,
MASSEY FINANCIAL,174650,STATE,,,,,1/16/2019,
NAVESINK ADVISORS LLC,117456,STATE,,,,,3/28/2025,
"BROWN CAPITAL ADVISORS, LLC",299101,STATE,,,,,3/27/2025,
CHRISTOPHER INVESTMENT ADVISORS,165611,STATE,,,,,3/27/2025,
"TOWNSEND AND COMPANY, LLC",165195,STATE,,,,,3/22/2013,
PINNACLE PEAK MANAGEMENT LLC,296518,STATE,,,,,3/27/2025,
SIRI CAPITAL ADVISORS LLC,170778,STATE,,,,,3/5/2014,
"HIGHSTREET FINANCIAL, LLC",107132,STATE,,,,,3/27/2025,
ANALYTX CAPITAL MANAGEMENT LP,322681,STATE,,,,,3/27/2025,
SAR WEALTH MANAGEMENT,170194,STATE,,,,,3/6/2025,
MANOR PARK CAPITAL LLC,305241,STATE,,,,,3/7/2025,
RANDALL P MARTIN,108546,STATE,,,,,3/7/2025,
BIGSTORY VC LLC,317607,STATE,,,,,3/28/2025,
KEJ FINANCIAL ADVISORS,144759,STATE,,,,,3/28/2025,
JANET CHRISTINE WYGLE - FINANCIAL ADVISOR,136623,STATE,,,,,1/25/2018,
RAND GROUP FINANCIAL,329132,STATE,,,,,3/28/2025,
PALMER FINANCIAL WELLNESS LLC,334258,STATE,,,,,3/7/2025,
SWVP FUND XXI GP LLC,309968,STATE,,,,,3/28/2025,
